,title,url,category
17,SAY “XƯA”,https://www.google.com/maps/search/?api=1&query=SAY%20%E2%80%9CX%C6%AFA%E2%80%9D&query_place_id=ChIJbUFZh5UTcTERSYhtKfFqQng,restaurant
18,52Hz Đà Lạt,https://www.google.com/maps/search/?api=1&query=52Hz%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJJVIzhtwTcTERaoGUbVzGmb4,cafe
19,Cafe Rừng Trong Nhà Retro (Cafe Vũ Since 1980 Đà Lạt),https://www.google.com/maps/search/?api=1&query=Cafe%20R%E1%BB%ABng%20Trong%20Nh%C3%A0%20Retro%20(Cafe%20V%C5%A9%20Since%201980%20%C4%90%C3%A0%20L%E1%BA%A1t)&query_place_id=ChIJZ8tU2AhtcTERevtiIupxXdA,cafe
20,Thềm Nhà Có Hoa,https://www.google.com/maps/search/?api=1&query=Th%E1%BB%81m%20Nh%C3%A0%20C%C3%B3%20Hoa&query_place_id=ChIJ640Z-WdtcTERCCh-jUXMArs,cafe
21,Chốn Bình Yên Coffee - Đà Lạt,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%91n%20B%C3%ACnh%20Y%C3%AAn%20Coffee%20-%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJubrYNV0TcTERmm56UiRgB4o,cafe
22,Cà phê Tiệm may Nhớ Hoài (phim trường chính gốc phim Em và Trịnh),https://www.google.com/maps/search/?api=1&query=C%C3%A0%20ph%C3%AA%20Ti%E1%BB%87m%20may%20Nh%E1%BB%9B%20Ho%C3%A0i%20(phim%20tr%C6%B0%E1%BB%9Dng%20ch%C3%ADnh%20g%E1%BB%91c%20phim%20Em%20v%C3%A0%20Tr%E1%BB%8Bnh)&query_place_id=ChIJgabtscoTcTERrc2I0kvV6sM,cafe
23,ANH CAFE ĐÀ LẠT,https://www.google.com/maps/search/?api=1&query=ANH%20CAFE%20%C4%90%C3%80%20L%E1%BA%A0T&query_place_id=ChIJjTneaAATcTERCW5f7octGiA,cafe
24,Đà Lạt Nights Coffee Đà Lạt - 24h,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A0%20L%E1%BA%A1t%20Nights%20Coffee%20%C4%90%C3%A0%20L%E1%BA%A1t%20-%2024h&query_place_id=ChIJsx_cOhoTcTEREMfnZkiJ6FQ,cafe
25,Núi Coffee & More,https://www.google.com/maps/search/?api=1&query=N%C3%BAi%20Coffee%20%26%20More&query_place_id=ChIJLSpfQBltcTERjmRUXiECnL0,cafe
26,Quán Của Thời Thanh Xuân,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%E1%BB%A7a%20Th%E1%BB%9Di%20Thanh%20Xu%C3%A2n&query_place_id=ChIJw6D__a8TcTERqUhnflvGR7s,cafe
