,title,url,category
24,Đà Lạt Nights Coffee Đà Lạt - 24h,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A0%20L%E1%BA%A1t%20Nights%20Coffee%20%C4%90%C3%A0%20L%E1%BA%A1t%20-%2024h&query_place_id=ChIJsx_cOhoTcTEREMfnZkiJ6FQ,cafe_rooftop_Da_Lat
25,Núi Coffee & More,https://www.google.com/maps/search/?api=1&query=N%C3%BAi%20Coffee%20%26%20More&query_place_id=ChIJLSpfQBltcTERjmRUXiECnL0,cafe_rooftop_Da_Lat
26,Quán Của Thời Thanh Xuân,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%E1%BB%A7a%20Th%E1%BB%9Di%20Thanh%20Xu%C3%A2n&query_place_id=ChIJw6D__a8TcTERqUhnflvGR7s,cafe_rooftop_Da_Lat
27,Nhà Lồng Coffee,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20L%E1%BB%93ng%20Coffee&query_place_id=ChIJAasYgEATcTERB7rxd1bvPDc,cafe_rooftop_Da_Lat
28,HD Coffee,https://www.google.com/maps/search/?api=1&query=HD%20Coffee&query_place_id=ChIJzx2ZtFltcTER7JOTigKFtSY,cafe_rooftop_Da_Lat
29,Cafe The Sora,https://www.google.com/maps/search/?api=1&query=Cafe%20The%20Sora&query_place_id=ChIJPXtplVYTcTERK3dsvZuziwM,cafe_rooftop_Da_Lat
30,Chaos Dalat Coffee,https://www.google.com/maps/search/?api=1&query=Chaos%20Dalat%20Coffee&query_place_id=ChIJp4LYPvYTcTERFPi91L9RWAI,cafe_rooftop_Da_Lat
31,Dalat Hills Coffee,https://www.google.com/maps/search/?api=1&query=Dalat%20Hills%20Coffee&query_place_id=ChIJa1K5UMETcTERya4s5sNJf_Q,cafe_rooftop_Da_Lat
32,Đà Lạt Chill Homestay & Coffee,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A0%20L%E1%BA%A1t%20Chill%20Homestay%20%26%20Coffee&query_place_id=ChIJVxwkCyITcTERmHnXCs_rBhg,cafe_rooftop_Da_Lat
33,pétit Dưỡng,https://www.google.com/maps/search/?api=1&query=p%C3%A9tit%20D%C6%B0%E1%BB%A1ng&query_place_id=ChIJt6sbJQATcTER63xcBxbIpAI,cafe_rooftop_Da_Lat
